,area,bedrooms,property_type,rooms,year_built
0,108,2,1,3,1906
1,47,1,1,2,1938
2,116,2,1,3,2003
3,58,2,1,3,1910
4,63,1,1,3,1906
5,125,2,1,3,1991
6,64,3,1,4,1906
7,155,3,1,5,1906
8,85,2,1,3,2007
9,67,2,1,3,1900
10,100,3,0,4,1988
11,43,1,1,2,1899
12,49,2,1,3,1925
13,65,2,1,3,1912
14,46,2,1,3,1924
15,74,2,1,3,2012
16,130,3,1,4,1929
17,58,2,1,3,1906
18,66,3,1,4,1935
19,59,3,1,4,1938
20,70,1,1,2,1979
21,114,3,0,4,1983
22,112,3,0,4,1998
23,90,2,1,3,1906
24,147,6,0,7,1956
25,107,3,1,4,2000
26,24,1,1,1,1906
27,127,3,1,4,1906
28,112,2,1,3,1993
29,112,2,1,3,1993
30,24,1,1,1,1906
31,152,4,1,6,1898
32,129,3,1,4,1896
33,52,1,1,2,1987
34,86,1,1,2,1991
35,116,2,0,4,1997
36,60,2,1,4,1940
37,61,2,1,3,1914
38,105,4,0,5,1981
39,143,4,0,6,2007
40,81,2,1,3,1969
41,62,2,1,3,1989
42,95,3,0,4,1993
43,51,1,1,2,1890
44,109,2,0,4,1995
45,46,1,1,2,1915
46,140,4,1,5,1931
47,135,4,0,6,1998
48,76,1,1,2,1906
49,125,4,1,6,2002
50,92,3,0,4,1986
51,60,1,1,2,1933
52,61,1,1,2,1906
53,55,2,1,3,1950
54,52,2,1,3,1906
55,167,3,1,5,1622
56,112,3,1,4,2010
57,73,2,1,3,1981
58,63,1,1,2,2009
59,126,2,1,3,1959
60,46,1,1,2,1927
61,24,1,1,1,1900
62,77,2,1,3,1977
63,65,2,1,3,1982
64,286,4,0,5,2014
65,164,3,0,5,1903
66,102,2,1,3,1981
67,71,2,1,4,1945
68,70,3,1,4,1906
69,173,4,1,6,1906
70,43,1,1,2,1906
71,61,1,1,2,1916
72,43,1,1,2,1968
73,86,2,1,3,1982
74,68,2,1,3,1963
75,101,3,1,4,1906
76,56,1,1,2,1983
77,75,2,1,3,1931
78,154,3,1,4,1906
79,43,1,1,2,1981
80,75,3,0,4,1945
81,96,2,1,3,1999
82,62,1,1,2,1986
83,47,1,1,2,1938
84,75,2,1,3,1971
85,101,3,0,4,1998
86,39,1,1,2,1906
87,42,1,1,2,1920
88,100,2,1,3,2006
89,54,2,1,3,1930
90,73,2,1,4,1954
91,54,2,1,3,1930
92,136,5,0,6,2009
93,125,4,0,5,1996
94,97,2,1,3,2007
95,49,1,1,2,1934
96,85,2,1,3,1986
97,146,1,1,3,1876
98,57,2,1,3,1940
99,66,2,1,3,1960
100,102,2,1,3,2006
101,55,1,1,2,1929
102,117,3,1,4,1906
103,131,4,0,6,1992
104,127,3,0,5,2010
105,104,2,1,3,2000
106,143,2,1,3,1615
107,140,3,0,5,1999
108,38,1,1,2,1938
109,240,4,1,5,1906
110,90,3,1,4,1970
111,75,2,1,3,1983
112,70,2,1,3,1925
113,50,1,1,2,2006
114,115,3,0,4,1998
115,105,2,1,3,2002
116,63,2,1,3,1926
117,59,1,1,3,1934
118,47,1,1,2,1981
119,81,2,1,3,1994
120,100,2,1,3,2003
121,46,1,1,2,1905
